variable,time,emissions,5_perc,10_perc,50_perc,90_perc,95_perc
mean summer precipitation (%),2070-2089,RCP8.5,-76,-67,-34,0,9
mean summer precipitation (%),2080-2099,RCP8.5,-84,-76,-40,-2,8
mean annual temperature (°C),2010-2029,RCP6.0,0.1,0.2,0.7,1.3,1.4
mean annual temperature (°C),2020-2039,RCP6.0,0.2,0.3,0.9,1.5,1.6
mean annual temperature (°C),2030-2049,RCP6.0,0.2,0.4,1.1,1.8,2
mean annual temperature (°C),2040-2059,RCP6.0,0.3,0.5,1.3,2.1,2.3
mean annual temperature (°C),2050-2069,RCP6.0,0.5,0.8,1.6,2.6,2.8
mean annual temperature (°C),2060-2079,RCP6.0,0.7,1,2.1,3.2,3.5
mean annual temperature (°C),2070-2089,RCP6.0,1,1.3,2.6,3.8,4.2
mean annual temperature (°C),2080-2099,RCP6.0,1.3,1.7,3.1,4.5,5
mean winter temperature (°C),2010-2029,RCP6.0,-0.4,-0.2,0.6,1.4,1.6
mean winter temperature (°C),2020-2039,RCP6.0,-0.2,0,0.8,1.5,1.8
mean winter temperature (°C),2030-2049,RCP6.0,-0.1,0.1,1,1.9,2.1
mean winter temperature (°C),2040-2059,RCP6.0,0,0.2,1.2,2.1,2.4
mean winter temperature (°C),2050-2069,RCP6.0,0.1,0.4,1.4,2.5,2.9
mean winter temperature (°C),2060-2079,RCP6.0,0.1,0.5,1.7,3,3.4
mean winter temperature (°C),2070-2089,RCP6.0,0.3,0.7,2.1,3.6,4
mean winter temperature (°C),2080-2099,RCP6.0,0.5,0.9,2.5,4.2,4.6
mean summer temperature (°C),2010-2029,RCP6.0,0.1,0.3,1,1.8,2
mean summer temperature (°C),2020-2039,RCP6.0,0,0.2,1.1,2,2.3
mean summer temperature (°C),2030-2049,RCP6.0,0,0.2,1.3,2.4,2.7
mean summer temperature (°C),2040-2059,RCP6.0,0.3,0.6,1.8,3,3.3
mean summer temperature (°C),2050-2069,RCP6.0,0.4,0.8,2.1,3.5,3.9
mean summer temperature (°C),2060-2079,RCP6.0,0.6,1.1,2.6,4.4,4.9
mean summer temperature (°C),2070-2089,RCP6.0,1,1.5,3.4,5.5,6
